created_date,borough,channel,complaint_type,response_time_days
2024-02-02,Queens,Web,Plumbing,18.27
2024-10-09,Manhattan,Phone,Plumbing,3.52
2024-08-26,Queens,Phone,Rodents,2.34
2024-06-09,Brooklyn,Web,Rodents,2.08
2024-06-07,Bronx,App,Plumbing,5.95
2024-11-09,Brooklyn,Web,Street Condition,9.78
2024-02-01,Brooklyn,Web,Illegal Parking,27.82
2024-09-11,Queens,Phone,Street Condition,3.56
2024-03-14,Brooklyn,Phone,Illegal Parking,5.72
2024-02-04,Manhattan,Phone,Plumbing,9.96
2024-07-11,Brooklyn,Web,Street Condition,6.76
2024-12-22,Brooklyn,App,Illegal Parking,6.34
2024-09-25,Brooklyn,App,Noise,14.16
2024-10-04,Brooklyn,App,Plumbing,5.82
2024-09-18,Brooklyn,App,Street Condition,2.25
2024-10-13,Brooklyn,App,Street Condition,12.27
2024-07-06,Brooklyn,Phone,Illegal Parking,1.1
2024-02-16,Queens,Phone,Heat/Hot Water,9.22
2024-11-02,Brooklyn,Web,Illegal Parking,5.38
2024-06-13,Staten Island,Web,Plumbing,3.92
2024-07-01,Bronx,Phone,Street Condition,5.12
2024-05-15,Brooklyn,Web,Noise,4.82
2024-03-07,Brooklyn,Web,Street Condition,3.76
2024-12-04,Queens,Web,Heat/Hot Water,6.34
2024-10-12,Bronx,Phone,Street Condition,4.77
2024-08-23,Queens,Phone,Illegal Parking,4.58
2024-05-26,Bronx,Phone,Noise,0.78
2024-10-27,Queens,App,Plumbing,4.55
2024-07-18,Queens,Web,Heat/Hot Water,3.14
2024-06-10,Brooklyn,Web,Rodents,10.35
2024-06-13,Queens,Phone,Plumbing,3.72
2024-03-23,Manhattan,Web,Heat/Hot Water,5.74
2024-02-03,Queens,Web,Illegal Parking,7.27
2024-07-21,Bronx,Web,Noise,10.78
2024-11-20,Manhattan,Web,Noise,2.78
2024-01-24,Queens,Phone,Rodents,4.78
2024-11-09,Manhattan,App,Plumbing,4.52
2024-10-29,Queens,Phone,Noise,4.91
2024-04-11,Manhattan,App,Heat/Hot Water,2.71
2024-08-18,Staten Island,Phone,Heat/Hot Water,2.26
2024-03-01,Manhattan,Phone,Street Condition,3.36
2024-10-03,Staten Island,Web,Heat/Hot Water,1.15
2024-09-12,Bronx,Phone,Heat/Hot Water,0.7
2024-05-09,Queens,Web,Illegal Parking,1.65
2024-01-25,Bronx,Web,Heat/Hot Water,10.7
2024-12-20,Bronx,Phone,Rodents,7.94
2024-06-11,Staten Island,Web,Plumbing,8.08
2024-11-21,Brooklyn,App,Plumbing,3.0
2024-09-04,Queens,App,Heat/Hot Water,9.37
2024-10-11,Manhattan,Web,Plumbing,0.87
2024-10-04,Queens,Web,Rodents,1.71
2024-03-12,Manhattan,Phone,Heat/Hot Water,6.74
2024-05-12,Queens,Phone,Plumbing,5.17
2024-06-19,Queens,Phone,Street Condition,7.44
2024-06-30,Brooklyn,App,Plumbing,6.46
2024-01-16,Queens,App,Street Condition,2.86
2024-07-18,Queens,Web,Plumbing,1.52
2024-02-26,Bronx,Web,Noise,0.98
2024-09-28,Brooklyn,Web,Street Condition,17.11
2024-09-06,Queens,Web,Heat/Hot Water,0.89
2024-12-02,Staten Island,Web,Heat/Hot Water,12.78
2024-09-28,Manhattan,Web,Heat/Hot Water,3.6
2024-05-13,Manhattan,Phone,Street Condition,4.07
2024-12-19,Manhattan,Phone,Noise,3.87
2024-05-29,Queens,App,Plumbing,6.8
2024-04-28,Brooklyn,Web,Illegal Parking,2.76
2024-11-26,Queens,App,Plumbing,0.4
2024-05-15,Queens,Phone,Plumbing,2.82
2024-01-28,Brooklyn,Web,Noise,7.55
2024-06-20,Bronx,Phone,Noise,2.51
2024-10-17,Queens,Phone,Street Condition,9.54
2024-03-10,Brooklyn,Phone,Street Condition,4.89
2024-06-17,Brooklyn,Phone,Heat/Hot Water,1.86
2024-02-17,Brooklyn,App,Plumbing,6.06
2024-09-07,Manhattan,Web,Illegal Parking,4.59
2024-06-22,Manhattan,Web,Plumbing,4.83
2024-04-30,Staten Island,Web,Noise,10.12
2024-03-23,Brooklyn,Web,Plumbing,1.3
2024-07-25,Brooklyn,Web,Heat/Hot Water,10.97
2024-09-01,Queens,Phone,Street Condition,9.88
2024-12-09,Queens,App,Street Condition,1.52
2024-06-08,Staten Island,Web,Plumbing,2.0
2024-02-28,Bronx,Web,Heat/Hot Water,11.22
2024-10-30,Brooklyn,Web,Heat/Hot Water,3.9
2024-08-17,Brooklyn,Phone,Street Condition,12.86
2024-09-12,Staten Island,App,Street Condition,14.15
2024-02-05,Queens,Web,Heat/Hot Water,1.57
2024-04-24,Staten Island,Phone,Heat/Hot Water,2.5
2024-10-07,Manhattan,Web,Heat/Hot Water,3.58
2024-10-30,Bronx,Web,Street Condition,0.56
2024-06-07,Queens,Web,Street Condition,0.7
2024-10-20,Manhattan,Web,Street Condition,1.5
2024-11-03,Queens,Web,Plumbing,15.99
2024-05-21,Queens,Phone,Heat/Hot Water,5.51
2024-11-23,Manhattan,App,Rodents,1.91
2024-04-15,Brooklyn,Web,Plumbing,2.16
2024-03-28,Bronx,Web,Heat/Hot Water,2.19
2024-09-06,Brooklyn,Phone,Heat/Hot Water,3.32
2024-08-20,Brooklyn,App,Heat/Hot Water,3.15
2024-02-21,Brooklyn,Phone,Heat/Hot Water,4.49
2024-10-30,Brooklyn,Phone,Street Condition,7.72
2024-03-13,Bronx,Web,Noise,6.22
2024-10-20,Bronx,Phone,Noise,11.68
2024-01-03,Manhattan,Phone,Street Condition,2.6
2024-10-17,Staten Island,Web,Plumbing,14.87
2024-10-14,Bronx,Web,Heat/Hot Water,11.49
2024-10-11,Brooklyn,App,Rodents,6.38
